Gene,nASD,rASD,min_lFDR,TADA p-value,Netscore,Annotation
OAT,yes,no,0.60354393,0.584,43.84171069,0
DCP2,yes,no,0.603707798,0.239,38.61636078,0
PRKD3,yes,no,0.603990013,0.563,28.87456126,0
HCRTR2,yes,no,0.60420463,0.38,85.65192248,0
PPIL3,yes,no,0.60428935,0.411,147.2894789,0
ACTG2,yes,no,0.604600145,0.257,32.95471836,0
HIST2H2BE,yes,no,0.604658736,0.217,75.97842058,0
CHRNA2,yes,no,0.604879317,0.298,1.092353672,0
TRMT112,yes,no,0.605044917,0.24,66.47607901,0
KPNA5,yes,no,0.605111943,0.383,46.73440693,0
MED12,yes,no,0.605322676,0.954,50.5407053,0
TMTC3,yes,no,0.605563905,0.383,40.58951177,0
DCAF7,yes,no,0.605765745,0.296,51.86177993,0
HSDL2,yes,no,0.605931529,0.657,97.82883126,0
HIST2H2AB,yes,no,0.606207816,0.572,48.77485724,0
ANKRD5,yes,no,0.606373385,0.489,128.641854,0
GJC1,yes,no,0.606648695,0.301,117.5976491,0
LRPPRC,yes,no,0.607359742,0.87,169.3142593,0
PIM2,yes,no,0.607526914,0.302,46.91645862,0
C7orf60,yes,no,0.607955603,0.276,74.89440979,0
HIST3H2A,yes,no,0.607964264,0.302,37.88784588,0
KCNF1,yes,no,0.608127927,0.242,10.27321181,0
C18orf21,yes,no,0.608252122,0.387,48.22495774,0
PDCL,yes,no,0.60869625,0.387,65.3806053,0
FXYD2,yes,no,0.608859924,0.334,16.82759084,0
UBE3A,yes,no,0.609309951,0.862,53.72490459,0
VPS26A,yes,no,0.609582345,0.39,19.86046952,0
RNF2,yes,no,0.609701958,0.304,41.89293161,0
COL3A1,yes,no,0.609864036,0.263,34.30315691,0
OXA1L,yes,no,0.610024392,0.189,29.0683775,0
NLGN4X,yes,no,0.610208025,0.34,86.44675477,0
SRXN1,yes,no,0.610296407,0.245,65.57109697,0
STAMBPL1,yes,no,0.610565578,0.305,44.72635828,0
TCP11L2,yes,no,0.610654994,0.975,195.7586211,0
TMEM130,yes,no,0.61185375,0.307,22.66535268,0
ZWILCH,yes,no,0.611988518,0.769,20.10183721,0
FLNC,yes,no,0.61201368,0.245740999,26.55526807,0
SASH1,yes,no,0.612218854,0.183,91.52967938,0
UBE2W,yes,no,0.612281053,0.339,138.5436392,0
EPB41L3,yes,no,0.612430444,0.341,109.9213696,0
CSN1S1,yes,no,0.612865905,0.553,42.18796866,0
PIBF1,yes,no,0.612871193,0.518,107.913884,0
ELAVL4,yes,no,0.61308867,0.132,107.655344,0
BMP7,yes,no,0.613290159,0.175,46.73251957,0
ADRA2A,yes,no,0.613310929,0.338,26.78674509,0
POLR3B,yes,no,0.613521833,0.393,121.378513,0
CHTF8,yes,no,0.613555838,0.308,49.43689027,0
THSD4,yes,no,0.613713398,0.247,16.46315855,0
MAGED2,yes,no,0.613953809,0.451,47.79128021,0
RBM18,yes,no,0.613978213,0.308,42.54172989,0
LPAR4,yes,no,0.614399385,0.588,33.08074245,0
SHISA5,yes,no,0.61455587,0.247,33.32787624,0
UBQLN1,yes,no,0.614813856,0.395,35.20758392,0
SLC6A6,yes,no,0.615058315,0.339,43.38153914,0
PNPLA8,yes,no,0.615242181,0.688,219.4751958,0
FAM188A,yes,no,0.615492304,0.82,61.0947943,0
YPEL2,yes,no,0.615669347,0.225,80.49215536,0
MRI1,yes,no,0.615925016,0.34,46.81035095,0
OAZ1,yes,no,0.616095328,0.396,42.23997527,0
RAB6B,yes,no,0.616356376,0.34,51.14640762,0
BRMS1,yes,no,0.616521092,0.896,70.18538307,0
APOD,yes,no,0.616645701,0.249,17.75915108,0
CCDC101,yes,no,0.616945845,0.869,68.66164361,0
TMEM100,yes,no,0.617060646,0.268,31.11329962,0
RBM24,yes,no,0.617215836,0.345,91.93422158,0
TRIM36,yes,no,0.617369399,0.399,35.20447044,0
HIST1H2AH,yes,no,0.617644191,0.335,35.48194049,0
PAK1,yes,no,0.617739196,0.746,125.9882143,0
GPATCH8,yes,no,0.617791689,0.399,25.04292279,0
COPZ1,yes,no,0.618071384,0.342,100.4211508,0
PTP4A1,yes,no,0.618152346,0.333,41.03928346,0
TAF5,yes,no,0.618213067,0.398,136.3430638,0
FCGR2A,yes,no,0.618298688,0.25,3.426706247,0
EFHD1,yes,no,0.618634091,0.57,21.5881891,0
ANPEP,yes,no,0.618710815,0.271,30.51115779,0
C7orf11,yes,no,0.61905398,0.402,7.103837378,0
CREBBP,yes,no,0.619345806,0.989,76.13622828,0
RAPGEFL1,yes,no,0.619532225,0.696,88.76149419,0
RNF41,yes,no,0.619768319,0.343,59.24999135,0
COLEC12,yes,no,0.619890719,0.403,17.35892183,0
SPOCK1,yes,no,0.62018953,0.343,22.07891396,0
TAGLN3,yes,no,0.620203859,0.316,43.9147235,0
CCNY,yes,no,0.620307333,0.403,22.17272016,0
OSBPL1A,yes,no,0.620611111,0.35,97.4501362,0
PDE6D,yes,no,0.620611452,0.317,31.59698606,0
CUL4B,yes,no,0.620723523,0.129,76.51088199,0
TSN,yes,no,0.621017793,0.317,37.42615655,0
RINT1,yes,no,0.621031412,0.462,68.0456358,0
NSMCE1,yes,no,0.62113944,0.407,13.87618866,0
DGKA,yes,no,0.621166791,0.257,116.929695,0
FBXO5,yes,no,0.621423403,0.609,36.97631998,0
ANKS1A,yes,no,0.621450461,0.346,25.01578706,0
MAT2A,yes,no,0.621827882,0.318,16.9571062,0
POLR1A,yes,no,0.62186879,0.347,23.78121561,0
RUVBL1,yes,no,0.621968033,0.406,104.0421228,0
KDM5B,yes,no,0.62198083,0.258,79.76062246,0
TTC29,yes,no,0.622231525,0.38,35.42781305,0
TOX,yes,no,0.622381052,0.926,77.84852843,0
F13A1,yes,no,0.622386077,0.277,36.95915379,0
GSTA3,yes,no,0.622634448,0.381,39.23443544,0
EDNRB,yes,no,0.622792866,0.62,39.0150514,0
TIMM17B,yes,no,0.623203569,0.409,29.108465,0
KCTD2,yes,no,0.623437257,0.32,42.98120266,0
TH1L,yes,no,0.623613497,0.41,32.85822786,0
ARMC1,yes,no,0.623946093,0.35,50.48925237,0
GRM2,yes,no,0.624022306,0.551,57.88445499,0
TECR,yes,no,0.624235633,0.316,15.86205573,0
N4BP2L1,yes,no,0.624358481,0.35,78.40203301,0
OSBPL11,yes,no,0.624399009,0.528,154.9984835,0
GOT2,yes,no,0.624837044,0.411,20.19736731,0
ATXN1,yes,no,0.625029952,0.321,6.130694548,0
TMEM26,yes,no,0.625198765,0.589,48.84426801,0
ZNF195,yes,no,0.625242636,0.411,44.10020522,0
DEPDC5,yes,no,0.625594845,0.355,23.64726627,0
FAM19A1,yes,no,0.625597362,0.336,66.09446786,0
PEA15,yes,no,0.62600493,0.355,19.36587335,0
ARL8B,yes,no,0.626051719,0.724,86.22685601,0
GIPC2,yes,no,0.626213921,0.322,17.06542045,0
VPS13A,yes,no,0.626413779,0.355,24.41114109,0
FAM36A,yes,no,0.626606911,0.323,25.07957,0
ODZ1,yes,no,0.626788899,0.264,83.75198693,0
GALNT10,yes,no,0.626821923,0.356,11.56941985,0
CYB5A,yes,no,0.626857845,0.687,53.12675362,0
ZNF768,yes,no,0.62722884,0.356,18.67511328,0
PIGK,yes,no,0.627660513,0.73,178.8892695,0
ZDHHC9,yes,no,0.627780129,0.324,27.56426145,0
SRRM2,yes,no,0.628039407,0.246761396,46.51235904,0
NME5,yes,no,0.62806037,0.194,82.01379502,0
CIRH1A,yes,no,0.628365092,0.538,128.3193979,0
BCKDHB,yes,no,0.628443671,0.452,133.2172149,0
PROKR2,yes,no,0.628459126,0.417,45.84582923,0
ZNF148,yes,no,0.628756798,0.539,187.0808696,0
DHX15,yes,no,0.628856738,0.417,5.718903506,0
DAP,yes,no,0.62894471,0.325,43.41275362,0
FBXO8,yes,no,0.62914741,0.299,52.29876469,0
CD200,yes,no,0.62925321,0.417,53.97044573,0
HMGB2,yes,no,0.629715935,0.244,41.00664426,0
ZMYM4,yes,no,0.630044764,0.737,82.0505493,0
CNOT3,yes,no,0.630052323,0.316,50.62972591,1
HIF1A,yes,no,0.630100193,0.824,100.7635162,0
ZNF295,yes,no,0.630313492,0.982,67.81622141,0
DOK3,yes,no,0.630452581,0.983,35.45503064,0
POLB,yes,no,0.63070073,0.301,98.63535666,0
GNG7,yes,no,0.63085172,0.362,51.70275623,0
OPHN1,yes,no,0.631225937,0.422,41.88901885,0
MRPL40,yes,no,0.631246246,0.825,190.5893286,0
CCNG1,yes,no,0.631250006,0.453,124.3491075,0
SLITRK5,yes,no,0.631472749,0.344,60.95917925,0
RAI1,yes,no,0.631647447,0.318,42.77043572,0
SAT2,yes,no,0.632044038,0.364,17.44417024,0
SPC24,yes,no,0.632383453,0.245,44.22434202,0
ZNF680,yes,no,0.632440265,0.49,21.56283974,0
HIST1H2BB,yes,no,0.632623579,0.596,23.84835926,0
CUBN,yes,no,0.632760611,0.327303401,18.71760615,1
PIP5K1C,yes,no,0.632788428,0.667,83.66992175,0
CDH2,yes,no,0.632836444,0.368,28.06641892,0
MMD,yes,no,0.633137055,0.328,17.2898579,0
BACH2,yes,no,0.633176855,0.425,25.69614575,0
GPR162,yes,no,0.633231931,0.369,105.607716,0
RBBP6,yes,no,0.633387469,0.611,40.42946882,0
IGF2BP1,yes,no,0.633626997,0.375,129.2828476,0
GABRA4,yes,no,0.633767944,0.271,97.54729777,0
ARHGAP5,yes,no,0.633950827,0.953,66.10266291,0
ZNF581,yes,no,0.634021102,0.371,22.46886488,0
MIOS,yes,no,0.634147643,0.551,148.1079146,0
MAK,yes,no,0.634260313,0.392,57.57283303,0
C18orf8,yes,no,0.634336358,0.426,53.91590926,0
MYO9B,yes,no,0.634414054,0.371,26.41788066,0
NEIL3,yes,no,0.634806027,0.364,49.92850925,0
DPYSL5,yes,no,0.634905292,0.616,63.40057803,0
CSNK1G3,yes,no,0.635104311,0.751,67.36511302,0
PDGFRA,yes,no,0.635487166,0.65,24.56990766,0
NEU1,yes,no,0.635587089,0.372,89.95979643,0
AFF2,yes,no,0.635659922,0.274,83.14352476,0
SPOCK2,yes,no,0.635869635,0.653,20.54648864,0
GALNTL5,yes,no,0.635976396,0.373,36.84631654,0
KIF20A,yes,no,0.636251529,0.249,41.59545056,0
RYR1,yes,no,0.636752889,0.374466998,11.38856503,0
CCDC91,yes,no,0.636850595,0.56,108.6214573,0
GPC4,yes,no,0.637012789,0.246,64.92156955,0
GRIN2A,yes,no,0.63713972,0.375,49.37878404,0
NAV1,yes,no,0.637216916,0.396,43.46898269,0
RAB9A,yes,no,0.637770531,0.366,76.41213709,0
PEX12,yes,no,0.637910921,0.376,32.25165999,0
TMEM48,yes,no,0.638148548,0.77,139.9973616,0
HIST1H1C,yes,no,0.638277829,0.617,64.08974542,0
SOX5,yes,no,0.638310938,0.353,109.1740812,0
MPV17,yes,no,0.638525663,0.435,28.36753345,0
KRT40,yes,no,0.638679172,0.379,19.54839194,0
SNX4,yes,no,0.638902036,0.773,180.0358148,0
ELAVL3,yes,no,0.639062459,0.332,69.5853436,0
CCBE1,yes,no,0.639277836,0.249,121.3546916,0
BDP1,yes,no,0.639396933,0.992,22.32447216,0
RAPGEF2,yes,no,0.639444832,0.38,12.53826732,0
LEF1,yes,no,0.639653234,0.439,11.7510256,0
PDCL2,yes,no,0.640127826,0.637,32.02087203,0
C14orf129,yes,no,0.640206392,0.476,96.17549557,0
C19orf66,yes,no,0.640402627,0.443,25.09569999,0
B3GNT4,yes,no,0.640475295,0.334,23.76307434,0
DLX3,yes,no,0.640495827,0.282,27.60142585,0
RNF152,yes,no,0.640585682,0.385,38.72717832,0
HIST1H1B,yes,no,0.640832758,0.646,36.67260168,0
OSR1,yes,no,0.640862946,0.303,39.17145391,0
ATN1,yes,no,0.640964013,0.333,61.34134685,0
EBNA1BP2,yes,no,0.641149427,0.444,6.661601399,0
MMP2,yes,no,0.641229019,0.303,16.37724641,0
UBR7,yes,no,0.64134138,0.381,80.88417345,0
PTPRK,yes,no,0.641521423,0.253,99.65821584,0
GNPDA1,yes,no,0.641594407,0.575,35.31290379,0
PPP6C,yes,no,0.641958756,0.575,79.77467851,0
KAL1,yes,no,0.64209332,0.382,24.57361955,0
DUSP7,yes,no,0.642255652,0.337,33.3874324,0
GNAQ,yes,no,0.642609592,0.337,14.46776033,0
FASN,yes,no,0.642842265,0.505,46.31098206,0
MEGF10,yes,no,0.643045922,0.199,30.14578277,0
TRNT1,yes,no,0.643215255,0.48,98.0753702,0
SKA1,yes,no,0.643367974,0.258,39.80594665,0
IFITM1,yes,no,0.643406366,0.304,16.5458951,0
ARV1,yes,no,0.643587506,0.481,118.013665,0
PROX1,yes,no,0.643734849,0.682,46.37603413,0
CALN1,yes,no,0.643959112,0.385,75.41774167,0
SAMHD1,yes,no,0.644101583,0.809,157.9502356,0
POLR3H,yes,no,0.644329671,0.385,27.64263769,0
THAP2,yes,no,0.644365818,0.573,111.4665497,0
G2E3,yes,no,0.644467646,0.812,143.1228546,0
RNF4,yes,no,0.644483161,0.579,55.59037057,0
SMNDC1,yes,no,0.644699187,0.385,48.09278476,0
FABP3,yes,no,0.64471471,0.686,102.0114063,0
RDH10,yes,no,0.644840611,0.285,30.84306164,0
C10orf88,yes,no,0.645062752,0.339,30.24951863,0
CMIP,yes,no,0.645197772,0.436,63.72293021,0
INPP4A,yes,no,0.64541032,0.34,26.76097705,0
CCDC53,yes,no,0.645435821,0.386,16.38884526,0
ZNF610,yes,no,0.645554024,0.583,156.3583928,0
RFX4,yes,no,0.645562566,0.65,36.84919883,0
PRKAA1,yes,no,0.645802643,0.386,68.83056324,0
RXRA,yes,no,0.64590963,0.287,31.6100497,0
BACE2,yes,no,0.645926376,0.614,61.00920017,0
CAPN7,yes,no,0.646168594,0.52,48.40085721,0
PSMD14,yes,no,0.646264558,0.585,164.6131188,0
IRF2BP2,yes,no,0.646289518,0.306,72.24601836,0
CHAF1A,yes,no,0.646448415,0.341,3.424214743,0
RTKN2,yes,no,0.646533769,0.98,78.56254208,0
ESD,yes,no,0.646651695,0.771,21.38340895,0
HNRNPH1,yes,no,0.64679262,0.341,18.75736152,0
MNAT1,yes,no,0.646897928,0.387,30.80964066,0
PHLDB1,yes,no,0.646973086,0.289,13.77713215,0
EPHB1,yes,no,0.647261073,0.387,21.18939818,0
DCN,yes,no,0.647326805,0.312,27.89360187,0
CTSD,yes,no,0.647373558,0.523,26.74828465,0
CBX6,yes,no,0.647479145,0.342,44.4025022,0
SDK2,yes,no,0.647623608,0.388,28.91329065,0
PTBP1,yes,no,0.64773368,0.266,20.19547831,0
DLG5,yes,no,0.64798548,0.34,33.31574697,0
LZTFL1,yes,no,0.648093149,0.851,136.9436697,0
POT1,yes,no,0.648347115,0.49,97.15282163,0
GABRB3,yes,no,0.648384964,0.596,144.6525509,0
KCND2,yes,no,0.648451709,0.215,90.40614339,0
THAP10,yes,no,0.648809418,0.854,142.2558018,0
CLSTN2,yes,no,0.649068304,0.392,57.32175716,0
SOCS4,yes,no,0.649427404,0.392,36.50701323,0
CCDC149,yes,no,0.649435378,0.855,34.19846409,0
NIPSNAP3A,yes,no,0.649522434,0.894,153.0985036,0
GRIN1,yes,no,0.649859454,0.345,21.71746989,0
EIF3L,yes,no,0.649877759,0.391,67.52261388,0
CRHR1,yes,no,0.650143404,0.398,82.90956465,0
SOX11,yes,no,0.650196184,0.345,54.02734645,0
OR4A16,yes,no,0.650478297,0.669,35.21380092,0
FLRT2,yes,no,0.65050031,0.394,34.42121658,0
SMEK2,yes,no,0.650585652,0.868,127.5015308,0
NDUFA8,yes,no,0.65082469,0.295,9.411764883,0
KCNJ3,yes,no,0.650856235,0.394,20.01539192,0
SLIT1,yes,no,0.650938679,0.448,34.72644638,0
PJA2,yes,no,0.651170604,0.603,104.873935,0
CUL2,yes,no,0.651203509,0.591,111.5491587,0
ATL2,yes,no,0.651211385,0.532,23.09120656,0
PTX3,yes,no,0.65156574,0.395,24.57809525,0
MCC,yes,no,0.651871337,0.96,33.04289764,0
INTS12,yes,no,0.651992869,0.466,47.42425136,0
CNTN5,yes,no,0.652204395,0.348897894,65.7619946,0
B4GALNT2,yes,no,0.652536596,0.349,16.82066885,0
P2RX5,yes,no,0.652692757,0.219,94.93851108,0
GRB2,yes,no,0.652867896,0.349,19.23301021,0
HNRPLL,yes,no,0.65288744,0.434,82.57229634,0
PAFAH1B3,yes,no,0.653042081,0.538,87.38299961,0
GRB10,yes,no,0.653325792,0.398,28.49793725,0
TEK,yes,no,0.653569769,0.441,24.92090521,0
GTPBP5,yes,no,0.653676822,0.546,74.27077753,0
ZNF217,yes,no,0.653738112,0.22,63.65080175,0
PLK4,yes,no,0.653910133,0.213,36.38619354,0
CYP2C18,yes,no,0.654027122,0.978,35.08264828,0
TPT1,yes,no,0.654249771,0.3,9.190648686,0
ZDHHC7,yes,no,0.654588994,0.301,21.41814084,0
HIST1H4L,yes,no,0.654839857,0.688,30.13005834,0
COPS2,yes,no,0.655074668,0.509,152.9931008,0
RNF125,yes,no,0.655120294,0.637,50.22636502,0
DNTTIP1,yes,no,0.65516592,0.598,100.2250008,0
ZNF614,yes,no,0.655265655,0.618,71.59892006,0
SYT17,yes,no,0.655463646,0.726,36.6136329,0
SLAIN2,yes,no,0.655491512,0.443,36.89990575,0
ARMC6,yes,no,0.655806116,0.399,91.95394227,0
ARL4A,yes,no,0.655816649,0.353,47.38150391,0
SOSTDC1,yes,no,0.6561411,0.462,61.88857976,0
GABPB1,yes,no,0.656148115,0.505,38.67060568,0
ARL13B,yes,no,0.656276405,0.621,130.1045533,0
REST,yes,no,0.656462525,0.977,44.63927313,0
ZNF841,yes,no,0.656464685,0.462,65.73708225,0
GRIN3A,yes,no,0.65648956,0.731,61.90146751,0
C1QTNF7,yes,no,0.656788528,0.356,32.99727776,0
CFL2,yes,no,0.656830539,0.822,38.36623173,0
ZC3H18,yes,no,0.65715375,0.412,18.67129097,0
LRRC4C,yes,no,0.657498389,0.418,130.2696131,0
HNRNPF,yes,no,0.657511005,0.831,93.30623296,0
LPCAT1,yes,no,0.657613427,0.305,23.63367293,0
MORN2,yes,no,0.658081412,0.36,77.49783398,0
CDH7,yes,no,0.658185411,0.414,57.24269919,0
ZNF41,yes,no,0.658277286,0.624,65.56953555,0
CTNNA2,yes,no,0.658527632,0.414,30.15853979,0
RHCG,yes,no,0.658608647,0.307,21.38152313,0
GINS1,yes,no,0.658939128,0.307,23.42326062,0
LACTB,yes,no,0.659201107,0.483,110.8491284,0
RB1,yes,no,0.659210127,0.416,84.94476824,0
HLA-DRB5,yes,no,0.659363511,0.433,32.2414226,0
ZCCHC6,yes,no,0.659550278,0.416,55.85511921,0
C9orf142,yes,no,0.659597935,0.308,14.84308753,0
SLC3A2,yes,no,0.659872868,0.555,38.64461723,0
PZP,yes,no,0.659889697,0.976,40.159674,0
PIK3R2,yes,no,0.659926267,0.308,45.23132691,0
SCAF1,yes,no,0.660228357,0.287,17.23614821,0
PTK2,yes,no,0.660318172,0.363,15.17403813,0
TMCO1,yes,no,0.660543709,0.49,68.50527837,0
CLN5,yes,no,0.660566134,0.417,43.08686861,0
LSM7,yes,no,0.660634928,0.359,17.81186371,0
IL34,yes,no,0.66090331,0.423,148.3619323,0
TAGLN,yes,no,0.661211694,0.492,11.63587461,0
FABP7,yes,no,0.661239596,0.423,81.27474064,0
SHMT2,yes,no,0.661266017,0.835,89.82285737,0
PROCR,yes,no,0.66155771,0.31,18.56641031,0
TEX13B,yes,no,0.661580539,0.364,8.011725495,0
KIF1B,yes,no,0.661877311,0.494,18.21479726,0
OLFML2B,yes,no,0.661881927,0.333,21.50947995,0
HPS5,yes,no,0.662205634,0.311,15.81472152,0
ZBTB34,yes,no,0.662207595,0.365,3.013946899,0
TXNRD1,yes,no,0.662540451,0.495,51.64751221,0
PAPOLA,yes,no,0.662832072,0.627,109.8380569,0
HDAC2,yes,no,0.662913598,0.687,132.0122075,0
SIAE,yes,no,0.663200818,0.232,83.67060591,0
KLHL7,yes,no,0.663246817,0.425,54.12194426,0
PSMA2,yes,no,0.663455327,0.362,109.089467,0
HNRNPA0,yes,no,0.663529947,0.333,66.99836615,0
AGGF1,yes,no,0.663579508,0.58,27.59682701,0
ZMIZ2,yes,no,0.663858323,0.812,76.90510674,0
NPTN,yes,no,0.664077289,0.372,10.45321584,0
SIX1,yes,no,0.664133897,0.313,7.917482951,0
FNTB,yes,no,0.664186168,0.57,56.19003061,0
HMGA2,yes,no,0.664242629,0.432,66.05632226,0
DNAJC18,yes,no,0.664387896,0.933,141.8115164,0
CDH6,yes,no,0.664452633,0.313,32.81132556,0
GAB1,yes,no,0.664513198,0.962,28.63856408,0
ZNF510,yes,no,0.664572985,0.427,65.22985453,0
WDR47,yes,no,0.664902793,0.547,81.23584513,0
CAMK2D,yes,no,0.665088071,0.314,22.51836412,0
BRD4,yes,no,0.665232064,0.295,37.88308684,0
DNASE2B,yes,no,0.665316424,0.448,42.30640141,0
LCMT1,yes,no,0.665491883,0.503,14.07079448,0
ANKRD13C,yes,no,0.665561327,0.432,34.9153831,0
LITAF,yes,no,0.665816828,0.726,33.92219385,0
UBE2U,yes,no,0.665932458,0.449,55.04889836,0
RNF44,yes,no,0.666141075,0.917,67.98675648,0
ITGA2,yes,no,0.666464536,0.292,42.98928835,0
BTBD10,yes,no,0.66654577,0.376,20.39392527,0
PHYHIPL,yes,no,0.666665595,0.65,123.0568841,0
PIP4K2B,yes,no,0.666873016,0.437,18.11655476,0
VAMP2,yes,no,0.666979541,0.317,55.97829271,0
CRKL,yes,no,0.667109399,0.505,19.73189368,0
IL16,yes,no,0.667157007,0.378,6.684448438,0
TRMT11,yes,no,0.66719975,0.438,35.14261317,0
KDR,yes,no,0.667292729,0.468,4.651325859,0
C18orf1,yes,no,0.66743134,0.508,28.48601072,0
DDB1,yes,no,0.667462208,0.655,81.41974418,0
CEP192,yes,no,0.667525922,0.439,30.62201143,0
DNAJB4,yes,no,0.667605245,0.651,161.2581383,0
PNOC,yes,no,0.66775275,0.238,31.94279417,0
AIFM1,yes,no,0.667766841,0.38,16.09109344,0
ACTR3,yes,no,0.667851349,0.601,53.8614857,0
ELL2,yes,no,0.668070699,0.38,4.597013707,0
ZFAND6,yes,no,0.668073995,0.512,97.76250396,0
PRPS2,yes,no,0.66822828,0.318,48.94451684,0
AQR,yes,no,0.668374053,0.942,130.9766165,0
NFASC,yes,no,0.668500307,0.385,60.00337746,0
SPTBN2,yes,no,0.668539072,0.739,58.60989114,0
ARFGAP3,yes,no,0.668677157,0.941,86.85242306,0
RAB31,yes,no,0.66871445,0.811,36.79991465,0
MDM2,yes,no,0.668823966,0.442,22.30563078,0
RASGEF1A,yes,no,0.66897977,0.383,33.43244041,0
AHNAK2,yes,no,0.6690336,0.513275412,27.24646666,0
IGSF3,yes,no,0.669146798,0.442,63.13117979,0
TCF12,yes,no,0.669281967,0.384,12.42132171,0
KDM4A,yes,no,0.66935256,0.516,75.9760778,0
MLLT1,yes,no,0.669467106,0.741,47.67395827,0
TRMT61B,yes,no,0.669468875,0.56,77.63186144,0
POLE2,yes,no,0.669583521,0.808,35.68243299,0
ZNF143,yes,no,0.669670795,0.514,137.0895503,0
C2orf67,yes,no,0.669790703,0.744,154.471292,0
LIFR,yes,no,0.669884316,0.866,39.7969703,0
YLPM1,yes,no,0.669988403,0.517,30.83757321,0
YWHAH,yes,no,0.670111744,0.45,57.16371216,0
CUL5,yes,no,0.670184413,0.666,80.38754453,0
PCSK5,yes,no,0.67043223,0.451,98.78415713,0
HIST1H2AL,yes,no,0.670483802,0.864,44.18175787,0
SFRP1,yes,no,0.670622207,0.301,38.97696172,0
IFT20,yes,no,0.670694657,0.32,34.55785606,0
SLC41A2,yes,no,0.670751902,0.451,71.89271713,0
BUB3,yes,no,0.670782553,0.385,89.98210689,0
TRAF5,yes,no,0.670938074,0.243,76.69818828,0
THAP11,yes,no,0.671253483,0.556,36.73380437,0
IPO5,yes,no,0.671379423,0.937,85.30235429,0
MYO3A,yes,no,0.671390185,0.439,25.24577124,0
LGI3,yes,no,0.671568548,0.844,31.65146693,0
PRSS12,yes,no,0.671607676,0.411,53.38881333,0
SPC25,yes,no,0.67170814,0.439,36.22720875,0
LAPTM4B,yes,no,0.67188295,0.989,89.59639719,0
ANKRD11,yes,no,0.672025395,0.391,78.87423242,0
PRMT5,yes,no,0.672196732,0.443,115.6215086,0
MRPL19,yes,no,0.67234197,0.577,96.65268662,0
VAT1L,yes,no,0.672509827,0.851,26.29944852,0
ARHGAP1,yes,no,0.672514782,0.747,53.24882534,0
SCLT1,yes,no,0.672657943,0.767,159.6886887,0
SRM,yes,no,0.672815913,0.353,21.15062261,0
LMAN1,yes,no,0.672822392,0.526,62.07365225,0
SPTA1,yes,no,0.672863062,0.184115653,34.68014343,0
EVI2A,yes,no,0.672973166,0.45,27.4795471,0
STX1A,yes,no,0.673116344,0.322,83.69022601,0
FZD2,yes,no,0.673134304,0.305,33.15654712,0
C1orf168,yes,no,0.673287872,0.888,45.9862391,0
RPL30,yes,no,0.673416024,0.322,36.78375388,0
GRIN2D,yes,no,0.673747586,0.395,16.58451334,0
DACH1,yes,no,0.673756963,0.53,27.89139113,0
LRRC42,yes,no,0.674067388,0.528,118.8399795,0
KIF5C,yes,no,0.674311696,0.323,14.73817075,0
NPTXR,yes,no,0.674334838,0.519,64.06154472,0
RND3,yes,no,0.674377489,0.249,68.4824304,0
CFL1,yes,no,0.674608796,0.323,60.20507119,0
KANK2,yes,no,0.674686942,0.533,34.19476001,0
CCDC99,yes,no,0.674852903,0.456,55.78048195,0
INCENP,yes,no,0.674920316,0.397,19.08666184,0
ADAM12,yes,no,0.674995649,0.533,34.18385147,0
LCLAT1,yes,no,0.675201008,0.665,154.2661589,0
HNRNPAB,yes,no,0.675211994,0.397,31.69768542,0
BIRC5,yes,no,0.675303699,0.309,38.78652722,0
ZNF615,yes,no,0.675474676,0.58,129.6055362,0
GATAD2A,yes,no,0.675503584,0.399,31.85022709,0
FAM108B1,yes,no,0.675611118,0.534,12.83946771,0
RAPH1,yes,no,0.675784603,0.457,10.57399744,0
ERBB2IP,yes,no,0.675917798,0.534,32.35385133,0
COX6C,yes,no,0.676084466,0.324,13.12030638,0
DYM,yes,no,0.676085391,0.443,57.46640745,0
FASTKD2,yes,no,0.676094108,0.583,75.82641739,0
SLC25A11,yes,no,0.67622382,0.612,78.9089265,0
ERCC8,yes,no,0.676403296,0.922,36.58289821,0
FOXN2,yes,no,0.676529468,0.367,106.4843571,0
SLC6A20,yes,no,0.676670038,0.348,36.48990729,0
IFIT5,yes,no,0.676953846,0.444,106.3793209,0
UBLCP1,yes,no,0.676961817,0.667,95.37415328,0
HERC3,yes,no,0.677019642,0.461,94.87953185,0
CHD3,yes,no,0.677139247,0.539,17.53802057,0
COX5A,yes,no,0.677443426,0.54,15.98479628,0
PPM1E,yes,no,0.67754486,0.403,93.77648534,0
CLPB,yes,no,0.677633474,0.462,19.18972855,0
SERBP1,yes,no,0.677835476,0.673,143.5925371,0
CPNE5,yes,no,0.677939309,0.468,64.98342745,0
RFTN2,yes,no,0.67805031,0.802,29.39894209,0
PPRC1,yes,no,0.678125738,0.768,65.3809729,0
SLC1A3,yes,no,0.678353016,0.933,33.13897366,0
KIAA1429,yes,no,0.678389358,0.713,117.5694523,0
CAPZA2,yes,no,0.678549123,0.591,102.756639,0
CCNA2,yes,no,0.678655026,0.315,46.22258749,0
NSUN2,yes,no,0.678675009,0.405,3.652198787,0
NUPR1,yes,no,0.678704292,0.328,17.21110109,0
SESN3,yes,no,0.678853271,0.6,176.1215488,0
EXOC5,yes,no,0.67895662,0.545,123.0370587,0
CLCN4,yes,no,0.67899255,0.676,96.50037049,0
