"A","B","P"
76,13,1
77,13,1
78,13,1
79,13,1
80,13,1
15,14,1
16,14,1
20,14,1
21,14,1
22,14,1
23,14,1
25,14,1
26,14,1
27,14,1
29,14,1
30,14,1
32,14,1
33,14,1
34,14,1
35,14,1
36,14,1
37,14,1
38,14,1
40,14,1
42,14,1
43,14,1
45,14,1
47,14,1
49,14,1
50,14,1
51,14,1
52,14,1
53,14,1
54,14,1
55,14,1
58,14,1
63,14,1
65,14,1
66,14,1
68,14,1
69,14,1
70,14,1
72,14,1
75,14,1
76,14,1
77,14,1
78,14,1
79,14,1
80,14,1
16,15,1
20,15,1
21,15,1
23,15,1
25,15,1
26,15,1
28,15,1
29,15,1
30,15,1
31,15,1
32,15,1
33,15,1
34,15,1
35,15,1
36,15,1
37,15,1
38,15,1
39,15,1
41,15,1
43,15,1
47,15,1
49,15,1
50,15,1
51,15,1
53,15,1
54,15,1
55,15,1
57,15,1
58,15,1
59,15,1
65,15,1
68,15,1
69,15,1
70,15,1
73,15,1
74,15,1
76,15,1
77,15,1
78,15,1
79,15,1
80,15,1
20,16,1
21,16,1
22,16,1
23,16,1
25,16,1
26,16,1
28,16,1
29,16,1
30,16,1
31,16,1
33,16,1
34,16,1
35,16,1
36,16,1
37,16,1
38,16,1
41,16,1
43,16,1
47,16,1
49,16,1
50,16,1
53,16,1
54,16,1
55,16,1
57,16,1
58,16,1
59,16,1
65,16,1
69,16,1
70,16,1
74,16,1
76,16,1
77,16,1
78,16,1
79,16,1
80,16,1
33,17,1
39,17,1
49,17,1
52,17,1
53,17,1
56,17,1
60,17,1
67,17,1
71,17,1
20,18,1
27,18,1
39,18,1
44,18,1
45,18,1
52,18,1
60,18,1
67,18,1
68,18,1
75,18,1
22,19,1
39,19,1
40,19,1
42,19,1
48,19,1
63,19,1
66,19,1
67,19,1
75,19,1
21,20,1
23,20,1
25,20,1
26,20,1
27,20,1
30,20,1
33,20,1
34,20,1
35,20,1
36,20,1
37,20,1
38,20,1
40,20,1
42,20,1
43,20,1
45,20,1
47,20,1
49,20,1
50,20,1
51,20,1
52,20,1
53,20,1
54,20,1
55,20,1
58,20,1
65,20,1
67,20,1
68,20,1
69,20,1
70,20,1
72,20,1
73,20,1
75,20,1
76,20,1
77,20,1
78,20,1
79,20,1
80,20,1
22,21,1
23,21,1
25,21,1
26,21,1
27,21,1
30,21,1
32,21,1
33,21,1
34,21,1
35,21,1
36,21,1
37,21,1
38,21,1
40,21,1
42,21,1
43,21,1
45,21,1
47,21,1
49,21,1
50,21,1
51,21,1
52,21,1
53,21,1
54,21,1
55,21,1
58,21,1
63,21,1
65,21,1
66,21,1
68,21,1
69,21,1
70,21,1
72,21,1
75,21,1
76,21,1
77,21,1
78,21,1
79,21,1
80,21,1
25,22,1
26,22,1
28,22,1
29,22,1
30,22,1
34,22,1
35,22,1
38,22,1
40,22,1
47,22,1
50,22,1
52,22,1
54,22,1
55,22,1
56,22,1
65,22,1
70,22,1
75,22,1
76,22,1
77,22,1
78,22,1
80,22,1
25,23,1
26,23,1
27,23,1
30,23,1
33,23,1
34,23,1
35,23,1
36,23,1
37,23,1
38,23,1
40,23,1
42,23,1
43,23,1
44,23,1
45,23,1
47,23,1
49,23,1
50,23,1
51,23,1
52,23,1
53,23,1
54,23,1
55,23,1
58,23,1
65,23,1
66,23,1
67,23,1
68,23,1
69,23,1
70,23,1
72,23,1
75,23,1
76,23,1
77,23,1
78,23,1
79,23,1
80,23,1
33,24,1
42,24,1
56,24,1
60,24,1
63,24,1
64,24,1
71,24,1
73,24,1
26,25,1
27,25,1
28,25,1
29,25,1
30,25,1
31,25,1
32,25,1
33,25,1
34,25,1
35,25,1
36,25,1
37,25,1
38,25,1
40,25,1
42,25,1
43,25,1
45,25,1
47,25,1
49,25,1
50,25,1
51,25,1
52,25,1
53,25,1
54,25,1
55,25,1
56,25,1
58,25,1
59,25,1
65,25,1
68,25,1
69,25,1
70,25,1
72,25,1
74,25,1
75,25,1
76,25,1
77,25,1
78,25,1
79,25,1
80,25,1
30,26,1
33,26,1
34,26,1
35,26,1
36,26,1
37,26,1
38,26,1
40,26,1
42,26,1
43,26,1
45,26,1
47,26,1
49,26,1
50,26,1
51,26,1
53,26,1
54,26,1
55,26,1
58,26,1
63,26,1
65,26,1
68,26,1
69,26,1
70,26,1
72,26,1
75,26,1
76,26,1
77,26,1
78,26,1
79,26,1
80,26,1
34,27,1
35,27,1
40,27,1
42,27,1
44,27,1
52,27,1
58,27,1
60,27,1
66,27,1
67,27,1
68,27,1
70,27,1
72,27,1
75,27,1
79,27,1
29,28,1
30,28,1
31,28,1
32,28,1
34,28,1
37,28,1
38,28,1
41,28,1
47,28,1
50,28,1
53,28,1
54,28,1
56,28,1
57,28,1
58,28,1
59,28,1
65,28,1
69,28,1
70,28,1
74,28,1
76,28,1
77,28,1
78,28,1
79,28,1
80,28,1
30,29,1
31,29,1
32,29,1
34,29,1
35,29,1
37,29,1
38,29,1
50,29,1
52,29,1
54,29,1
56,29,1
57,29,1
58,29,1
59,29,1
65,29,1
69,29,1
70,29,1
74,29,1
76,29,1
77,29,1
78,29,1
79,29,1
80,29,1
31,30,1
32,30,1
34,30,1
35,30,1
36,30,1
37,30,1
38,30,1
41,30,1
43,30,1
47,30,1
49,30,1
50,30,1
52,30,1
53,30,1
54,30,1
55,30,1
56,30,1
58,30,1
59,30,1
62,30,1
65,30,1
68,30,1
69,30,1
70,30,1
74,30,1
76,30,1
77,30,1
78,30,1
79,30,1
80,30,1
32,31,1
33,31,1
37,31,1
38,31,1
39,31,1
41,31,1
47,31,1
49,31,1
50,31,1
53,31,1
54,31,1
55,31,1
57,31,1
58,31,1
59,31,1
65,31,1
66,31,1
67,31,1
69,31,1
74,31,1
76,31,1
77,31,1
78,31,1
80,31,1
38,32,1
53,32,1
54,32,1
58,32,1
59,32,1
69,32,1
74,32,1
76,32,1
77,32,1
78,32,1
34,33,1
35,33,1
36,33,1
37,33,1
38,33,1
39,33,1
42,33,1
43,33,1
47,33,1
49,33,1
50,33,1
51,33,1
53,33,1
54,33,1
58,33,1
63,33,1
65,33,1
68,33,1
69,33,1
71,33,1
72,33,1
73,33,1
76,33,1
77,33,1
78,33,1
79,33,1
80,33,1
35,34,1
36,34,1
37,34,1
38,34,1
40,34,1
42,34,1
43,34,1
45,34,1
47,34,1
49,34,1
50,34,1
51,34,1
52,34,1
53,34,1
54,34,1
55,34,1
58,34,1
63,34,1
65,34,1
68,34,1
69,34,1
70,34,1
72,34,1
74,34,1
75,34,1
76,34,1
77,34,1
78,34,1
79,34,1
80,34,1
36,35,1
37,35,1
38,35,1
40,35,1
42,35,1
43,35,1
45,35,1
47,35,1
49,35,1
50,35,1
51,35,1
52,35,1
53,35,1
54,35,1
55,35,1
58,35,1
65,35,1
68,35,1
69,35,1
70,35,1
72,35,1
75,35,1
76,35,1
77,35,1
78,35,1
79,35,1
80,35,1
37,36,1
38,36,1
42,36,1
43,36,1
45,36,1
47,36,1
49,36,1
50,36,1
51,36,1
52,36,1
53,36,1
54,36,1
55,36,1
58,36,1
63,36,1
65,36,1
68,36,1
69,36,1
70,36,1
71,36,1
72,36,1
73,36,1
75,36,1
76,36,1
77,36,1
79,36,1
80,36,1
38,37,1
43,37,1
47,37,1
49,37,1
50,37,1
51,37,1
53,37,1
54,37,1
55,37,1
57,37,1
58,37,1
59,37,1
65,37,1
68,37,1
69,37,1
70,37,1
72,37,1
74,37,1
76,37,1
77,37,1
78,37,1
79,37,1
80,37,1
40,38,1
43,38,1
45,38,1
47,38,1
49,38,1
50,38,1
52,38,1
53,38,1
54,38,1
55,38,1
56,38,1
58,38,1
59,38,1
63,38,1
65,38,1
68,38,1
69,38,1
70,38,1
74,38,1
75,38,1
76,38,1
77,38,1
78,38,1
79,38,1
80,38,1
41,39,1
44,39,1
49,39,1
52,39,1
53,39,1
57,39,1
59,39,1
66,39,1
67,39,1
73,39,1
75,39,1
42,40,1
51,40,1
52,40,1
54,40,1
63,40,1
65,40,1
66,40,1
67,40,1
68,40,1
69,40,1
70,40,1
75,40,1
76,40,1
77,40,1
78,40,1
80,40,1
47,41,1
50,41,1
53,41,1
55,41,1
56,41,1
59,41,1
66,41,1
74,41,1
76,41,1
80,41,1
43,42,1
45,42,1
51,42,1
52,42,1
54,42,1
63,42,1
66,42,1
67,42,1
68,42,1
69,42,1
71,42,1
72,42,1
75,42,1
76,42,1
77,42,1
45,43,1
47,43,1
49,43,1
50,43,1
51,43,1
52,43,1
53,43,1
54,43,1
55,43,1
58,43,1
63,43,1
65,43,1
68,43,1
69,43,1
70,43,1
71,43,1
72,43,1
73,43,1
75,43,1
76,43,1
77,43,1
78,43,1
79,43,1
80,43,1
52,44,1
60,44,1
66,44,1
67,44,1
68,44,1
72,44,1
75,44,1
50,45,1
51,45,1
52,45,1
54,45,1
55,45,1
58,45,1
65,45,1
67,45,1
68,45,1
70,45,1
76,45,1
77,45,1
79,45,1
80,45,1
61,46,1
49,47,1
50,47,1
51,47,1
53,47,1
54,47,1
55,47,1
58,47,1
59,47,1
65,47,1
68,47,1
69,47,1
70,47,1
74,47,1
76,47,1
77,47,1
78,47,1
79,47,1
80,47,1
62,48,1
63,48,1
71,48,1
75,48,1
50,49,1
51,49,1
53,49,1
54,49,1
55,49,1
57,49,1
58,49,1
65,49,1
69,49,1
71,49,1
72,49,1
73,49,1
76,49,1
77,49,1
78,49,1
79,49,1
80,49,1
51,50,1
53,50,1
54,50,1
55,50,1
58,50,1
59,50,1
63,50,1
65,50,1
68,50,1
69,50,1
70,50,1
73,50,1
74,50,1
76,50,1
77,50,1
78,50,1
79,50,1
80,50,1
53,51,1
54,51,1
55,51,1
63,51,1
65,51,1
68,51,1
69,51,1
71,51,1
72,51,1
76,51,1
77,51,1
79,51,1
80,51,1
54,52,1
55,52,1
58,52,1
60,52,1
66,52,1
67,52,1
68,52,1
70,52,1
72,52,1
75,52,1
76,52,1
77,52,1
79,52,1
80,52,1
54,53,1
55,53,1
57,53,1
58,53,1
59,53,1
65,53,1
68,53,1
69,53,1
70,53,1
73,53,1
74,53,1
76,53,1
77,53,1
78,53,1
79,53,1
80,53,1
55,54,1
58,54,1
63,54,1
65,54,1
68,54,1
69,54,1
70,54,1
72,54,1
74,54,1
75,54,1
76,54,1
77,54,1
78,54,1
79,54,1
80,54,1
58,55,1
59,55,1
65,55,1
68,55,1
69,55,1
70,55,1
73,55,1
74,55,1
76,55,1
77,55,1
79,55,1
80,55,1
59,56,1
60,56,1
62,56,1
70,56,1
74,56,1
80,56,1
59,57,1
67,57,1
74,57,1
78,57,1
59,58,1
65,58,1
68,58,1
69,58,1
70,58,1
72,58,1
74,58,1
76,58,1
77,58,1
78,58,1
79,58,1
80,58,1
65,59,1
74,59,1
76,59,1
77,59,1
78,59,1
62,60,1
64,60,1
67,60,1
70,60,1
71,60,1
75,60,1
71,62,1
64,63,1
66,63,1
71,63,1
75,63,1
68,65,1
69,65,1
70,65,1
74,65,1
76,65,1
77,65,1
78,65,1
79,65,1
80,65,1
67,66,1
68,66,1
72,66,1
75,66,1
68,67,1
70,67,1
72,67,1
75,67,1
69,68,1
70,68,1
72,68,1
75,68,1
76,68,1
77,68,1
78,68,1
79,68,1
80,68,1
70,69,1
72,69,1
74,69,1
76,69,1
77,69,1
78,69,1
79,69,1
80,69,1
72,70,1
74,70,1
75,70,1
76,70,1
77,70,1
78,70,1
79,70,1
80,70,1
73,71,1
75,72,1
76,72,1
77,72,1
78,72,1
79,72,1
76,73,1
76,74,1
77,74,1
78,74,1
80,74,1
76,75,1
77,75,1
79,75,1
77,76,1
78,76,1
79,76,1
80,76,1
78,77,1
79,77,1
80,77,1
79,78,1
80,78,1
80,79,1
